,city,latitude,longitude,temperature,windspeed,country,date,clouds,humidity
391,ilheus,-14.79,-39.05,78.96,5.35,BR,1603194775,86,75
392,henties bay,-22.12,14.28,64,4,NA,1603194928,3,79
393,vila velha,-20.33,-40.29,75.99,6.93,BR,1603194928,90,88
394,abong mbang,3.98,13.18,80.15,2.48,CM,1603194928,31,75
395,mahebourg,-20.41,57.7,80.6,12.75,MU,1603194928,40,65
396,ishimbay,53.45,56.04,44.8,4.63,RU,1603194929,92,67
397,oceanside,33.2,-117.38,66.2,3.36,US,1603194929,90,100
398,la ronge,55.1,-105.28,24.89,3.15,CA,1603194929,100,82
399,paamiut,61.99,-49.67,39.7,23.04,GL,1603194730,100,74
400,harrisonburg,38.45,-78.87,54,4.68,US,1603194930,1,100
401,pacific grove,36.62,-121.92,53.6,2.77,US,1603194930,90,93
402,camacha,33.08,-16.33,71.6,25.28,PT,1603194930,40,68
403,ozinki,51.18,49.68,52.02,13.76,RU,1603194930,2,44
404,bousse,12.66,-1.89,93.2,8.05,BF,1603194930,20,52
405,montlucon,46.33,2.6,61,7.25,FR,1603194931,100,78
406,jeremie,18.65,-74.12,79.63,3.49,HT,1603194931,77,73
407,tarauaca,-8.16,-70.77,74.64,2.64,BR,1603194931,70,91
408,alofi,-19.06,-169.92,71.6,6.93,NU,1603194931,65,94
409,san jose,37.34,-121.89,59,0.72,US,1603194931,1,82
410,khawhai,23.37,93.12,63.12,0.16,IN,1603194931,93,100
411,nelson bay,-32.72,152.15,64,8.05,AU,1603194931,6,77
412,talakan,50.32,130.37,38.88,10.16,RU,1603194932,100,74
413,ciudad bolivar,8.12,-63.55,81.41,5.93,VE,1603194932,31,75
414,masuguru,-11.37,38.42,101.37,4.61,TZ,1603194933,1,19
415,tamiahua,21.27,-97.45,74.14,2.19,MX,1603194933,0,87
416,olivenza,38.68,-7.1,68,12.75,ES,1603194933,75,88
417,khammam,17.25,80.15,76.59,3.65,IN,1603194933,100,94
418,kokstad,-30.55,29.42,59.29,6.82,ZA,1603194933,57,75
419,kholmy,51.87,32.6,48.09,16.02,UA,1603194933,16,58
420,axim,4.87,-2.24,81.05,10.76,GH,1603194934,71,80
421,yerky,48.99,30.99,53.6,12.64,UA,1603194934,36,52
422,ratnagiri,16.98,73.3,81.32,5.59,IN,1603194934,94,81
423,rantepao,-2.97,119.9,68.36,1.66,ID,1603194935,78,88
424,boda,4.32,17.47,86.09,4.76,CF,1603194935,42,62
425,komsomolskiy,40.43,71.72,73.4,6.93,UZ,1603194935,0,25
426,lukulu,-14.37,23.24,101.53,7.4,ZM,1603194935,0,7
427,ancud,-41.87,-73.82,45,4.7,CL,1603194935,84,100
428,rio gallegos,-51.62,-69.22,39.2,17.22,AR,1603194935,52,62
429,richards bay,-28.78,32.04,72.55,18.1,ZA,1603194936,100,75
430,obihiro,42.92,143.2,39.2,5.82,JP,1603194721,20,86
431,ballina,-28.87,153.57,62.6,2.24,AU,1603194936,48,77
432,khislavichi,54.19,32.16,40.28,16.82,RU,1603194936,75,71
433,caravelas,-17.71,-39.25,78.17,8.08,BR,1603194936,98,77
434,srednekolymsk,67.45,153.68,18.32,2.19,RU,1603194936,98,97
435,kaligutan,7.7,125.81,82.4,11.41,PH,1603194937,75,78
436,tura,25.52,90.22,75.56,3.51,IN,1603194773,9,91
437,sfantu gheorghe,45.87,25.78,55.99,3.44,RO,1603194937,0,49
438,fortuna,40.6,-124.16,53.01,5.82,US,1603194937,90,100
439,edd,13.93,41.69,90.27,13.87,ER,1603194937,2,55
440,bubaque,11.28,-15.83,82.81,1.5,GW,1603194937,92,81
441,sekovici,44.3,18.85,59,2.24,BA,1603194938,20,58
442,rafai,4.95,23.92,88.7,3.49,CF,1603194938,21,50
443,fort-shevchenko,44.51,50.26,56.62,21.65,KZ,1603194938,33,74
444,acandi,8.51,-77.28,74.79,2.64,CO,1603194938,88,86
445,yulara,-25.24,130.99,80.6,1.12,AU,1603194938,0,54
446,lorengau,-2.02,147.27,81.79,2.89,PG,1603194938,94,70
447,cananeia,-25.01,-47.93,74.82,2.44,BR,1603194939,66,76
448,snezhnogorsk,69.19,33.25,33.8,4.47,RU,1603194939,75,100
449,mattru,7.62,-11.83,86.61,4.38,SL,1603194939,90,62
450,luxor,25.7,32.64,100.4,4.7,EG,1603194939,0,22
451,bambanglipuro,-7.95,110.28,79.23,8.7,ID,1603194939,39,83
452,amga,60.9,131.96,21.63,1.25,RU,1603194939,100,97
453,vao,-22.67,167.48,73.27,16.89,NC,1603194940,37,79
454,drovyanaya,51.58,113.03,33.8,13.42,RU,1603194940,20,47
455,pontes e lacerda,-15.23,-59.34,79.25,2.55,BR,1603194940,99,79
456,curico,-34.98,-71.23,50,8.05,CL,1603194940,0,81
457,irtyshskiy,58.33,68.13,40.91,6.76,RU,1603194940,96,87
458,amapa,1,-52,83.62,5.12,BR,1603194940,84,63
459,caconda,-13.73,15.07,91.83,8.03,AO,1603194941,0,13
460,cloquet,46.72,-92.46,28.4,3.38,US,1603194941,90,100
461,elektrostal,55.79,38.44,41,13.42,RU,1603194941,75,80
462,karabulak,43.3,44.9,57.2,6.38,RU,1603194942,75,62
463,yar-sale,66.83,70.83,21.61,3.51,RU,1603194942,98,98
464,eskil,38.4,33.41,70.34,4.36,TR,1603194942,22,41
465,kenora,49.82,-94.43,26.01,5.01,CA,1603194942,49,63
466,kaoma,-14.78,24.8,98.78,8.43,ZM,1603194943,6,8
467,mar del plata,-38,-57.56,54,3.36,AR,1603194943,50,76
468,suba,10.84,121.01,82.69,15.95,PH,1603194943,100,77
469,sovetskaya,44.78,41.17,56.98,8.77,RU,1603194943,99,60
470,altay,47.87,88.12,36.61,1.92,CN,1603194803,15,67
471,natchitoches,31.77,-93.13,62.6,3.22,US,1603194944,90,100
472,lahij,13.17,44.58,92.01,15.75,YE,1603194944,0,22
473,turukhansk,65.82,87.98,16.68,5.86,RU,1603194945,100,94
474,novo aripuana,-5.12,-60.38,84.29,3.31,BR,1603194945,96,62
475,montevideo,-34.83,-56.17,53.6,10.29,UY,1603194945,90,81
476,eureka,40.8,-124.16,52,1.01,US,1603194778,4,94
477,mantua,45.17,10.78,62.01,2.04,IT,1603194945,51,80
478,dwarka,22.24,68.97,86.41,11.79,IN,1603194945,1,69
479,ocala,29.19,-82.14,73.4,4.7,US,1603194854,1,100
480,coaticook,45.13,-71.8,51.8,9.17,CA,1603194946,90,93
481,erzin,36.96,36.2,80.01,7.14,TR,1603194946,45,71
482,grindavik,63.84,-22.43,39.2,5.82,IS,1603194946,40,80
483,san juan de los morros,9.91,-67.35,74.25,1.72,VE,1603194946,100,87
484,katangli,51.71,143.23,28.63,7.45,RU,1603194946,0,87
485,segou,13.43,-6.22,97.23,2.51,ML,1603194947,0,20
486,sakakah,29.97,40.21,91.4,5.82,SA,1603194947,0,8
487,avera,33.19,-82.53,57.2,5.82,US,1603194947,1,93
488,nivala,63.92,24.97,30,3,FI,1603194947,84,91
489,wachtberg,50.62,7.13,57,5.01,DE,1603194947,99,68
490,lasa,46.62,10.7,57,10.29,IT,1603194948,20,80
491,belaya gora,68.53,146.42,6.39,1.45,RU,1603194948,36,92
492,north bend,43.41,-124.22,52,5.57,US,1603194948,1,100
493,bezhetsk,57.79,36.7,37.42,12.5,RU,1603194948,97,80
494,beibei,29.83,106.43,61,6.71,CN,1603194949,40,72
495,safranbolu,41.25,32.69,66.79,2.24,TR,1603194949,58,50
496,napier,-39.48,176.92,59,1.99,NZ,1603194949,100,79
497,zhangye,38.93,100.45,50.86,5.61,CN,1603194949,0,39
498,excelsior springs,39.34,-94.23,41,5.82,US,1603194950,90,75
499,qurayyat,31.33,37.34,93.2,11.41,SA,1603194746,0,8
500,jian,27.12,114.98,64.35,4.99,CN,1603194950,100,79
501,daru,-9.08,143.21,79.72,11.34,PG,1603194950,83,83
502,bikin,46.82,134.26,41.2,4.81,RU,1603194950,0,72
503,kaihua,23.37,104.28,54,4.29,CN,1603194950,97,90
504,wadi maliz,36.47,8.55,71.6,3.36,TN,1603194950,0,40
505,grand gaube,-20.01,57.66,80.01,13,MU,1603194758,0,63
506,tatawin,32.93,10.45,75.2,4.7,TN,1603194951,0,33
507,port augusta,-32.5,137.77,69.8,3.36,AU,1603194774,90,49
508,calabozo,8.92,-67.43,76.91,3.31,VE,1603194951,81,93
509,namie,37.48,141,53.01,1.01,JP,1603194951,0,93
